Theta[deg.],Gain(S)_y20_0,Gain(M)_y20_0,Gain(S)_y40_0,Gain(M)_y40_0,Gain(S)_y80_0,Gain(M)_y80_0,Gain(S)_x20_0,Gain(M)_x20_0,Gain(S)_x40_0,Gain(S)_x40_0,Gain(S)_x80_0,Gain(M)_x80_0
139,2.592,2.0736,2.354,1.8832,2.191,1.81853,1.944,1.5002496,1.760792,1.38773008,2.30055,1.8549006
138,2.55,2.04,2.308,1.8464,2.143,1.77869,1.9125,1.47594,1.726384,1.36061216,2.25015,1.8142638
137,2.508,2.0064,2.261,1.8088,2.094,1.73802,1.881,1.4516304,1.691228,1.33290472,2.1987,1.7727804
136,2.466,1.9728,2.214,1.7712,2.045,1.69735,1.8495,1.4273208,1.656072,1.30519728,2.14725,1.731297
135,2.423,1.9384,2.167,1.7336,1.995,1.65585,1.81725,1.4024324,1.620916,1.27748984,2.09475,1.688967
134,2.38,1.904,2.12,1.696,1.945,1.61435,1.785,1.377544,1.58576,1.2497824,2.04225,1.646637
133,2.337,1.8696,2.072,1.6576,1.896,1.57368,1.75275,1.3526556,1.549856,1.22148544,1.9908,1.6051536
132,2.293,1.8344,2.024,1.6192,1.846,1.53218,1.71975,1.3271884,1.513952,1.19318848,1.9383,1.5628236
131,2.249,1.7992,1.977,1.5816,1.796,1.49068,1.68675,1.3017212,1.478796,1.16548104,1.8858,1.5204936
130,2.206,1.7648,1.929,1.5432,1.746,1.44918,1.6545,1.2768328,1.442892,1.13718408,1.8333,1.4781636
129,2.162,1.7296,1.881,1.5048,1.696,1.40768,1.6215,1.2513656,1.406988,1.10888712,1.7808,1.4358336
128,2.118,1.6944,1.833,1.4664,1.646,1.36618,1.5885,1.2258984,1.371084,1.08059016,1.7283,1.3935036
127,2.073,1.6584,1.786,1.4288,1.597,1.32551,1.55475,1.1998524,1.335928,1.05288272,1.67685,1.3520202
126,2.029,1.6232,1.738,1.3904,1.547,1.28401,1.52175,1.1743852,1.300024,1.02458576,1.62435,1.3096902
125,1.985,1.588,1.691,1.3528,1.498,1.24334,1.48875,1.148918,1.264868,0.99687832,1.5729,1.2682068
124,1.941,1.5528,1.644,1.3152,1.45,1.2035,1.45575,1.1234508,1.229712,0.96917088,1.5225,1.22757
123,1.898,1.5184,1.597,1.2776,1.401,1.16283,1.4235,1.0985624,1.194556,0.94146344,1.47105,1.1860866
122,1.854,1.4832,1.551,1.2408,1.354,1.12382,1.3905,1.0730952,1.160148,0.91434552,1.4217,1.1462964
121,1.811,1.4488,1.505,1.204,1.306,1.08398,1.35825,1.0482068,1.12574,0.8872276,1.3713,1.1056596
120,1.767,1.4136,1.459,1.1672,1.26,1.0458,1.32525,1.0227396,1.091332,0.86010968,1.323,1.066716
119,1.725,1.38,1.414,1.1312,1.214,1.00762,1.29375,0.99843,1.057672,0.83358128,1.2747,1.0277724
118,1.682,1.3456,1.37,1.096,1.168,0.96944,1.2615,0.9735416,1.02476,0.8076424,1.2264,0.9888288
117,1.64,1.312,1.326,1.0608,1.124,0.93292,1.23,0.949232,0.991848,0.78170352,1.1802,0.9515784
116,1.598,1.2784,1.283,1.0264,1.08,0.8964,1.1985,0.9249224,0.959684,0.75635416,1.134,0.914328
115,1.557,1.2456,1.241,0.9928,1.037,0.86071,1.16775,0.9011916,0.928268,0.73159432,1.08885,0.8779242
114,1.517,1.2136,1.2,0.96,0.9949,0.825767,1.13775,0.8780396,0.8976,0.707424,1.044645,0.84228234
113,1.476,1.1808,1.159,0.9272,0.9538,0.791654,1.107,0.8543088,0.866932,0.68325368,1.00149,0.80748708
112,1.437,1.1496,1.119,0.8952,0.9138,0.758454,1.07775,0.8317356,0.837012,0.65967288,0.95949,0.77362308
111,1.398,1.1184,1.08,0.864,0.8748,0.726084,1.0485,0.8091624,0.80784,0.6366816,0.91854,0.74060568
110,1.359,1.0872,1.042,0.8336,0.8369,0.694627,1.01925,0.7865892,0.779416,0.61427984,0.878745,0.70851954
109,1.322,1.0576,1.005,0.804,0.8001,0.664083,0.9915,0.7651736,0.75174,0.5924676,0.840105,0.67736466
108,1.285,1.028,0.9693,0.77544,0.7645,0.634535,0.96375,0.743758,0.7250364,0.571421736,0.802725,0.6472257
107,1.249,0.9992,0.9345,0.7476,0.7302,0.606066,0.93675,0.7229212,0.699006,0.55090644,0.76671,0.61818732
106,1.213,0.9704,0.9008,0.72064,0.6972,0.578676,0.90975,0.7020844,0.6737984,0.531039616,0.73206,0.59024952
105,1.179,0.9432,0.8682,0.69456,0.6654,0.552282,0.88425,0.6824052,0.6494136,0.511821264,0.69867,0.56332764
104,1.145,0.916,0.8368,0.66944,0.635,0.52705,0.85875,0.662726,0.6259264,0.493310336,0.66675,0.537591
103,1.112,0.8896,0.8066,0.64528,0.6061,0.503063,0.834,0.6436256,0.6033368,0.475506832,0.636405,0.51312426
102,1.081,0.8648,0.7777,0.62216,0.5785,0.480155,0.81075,0.6256828,0.5817196,0.458469704,0.607425,0.4897581
101,1.05,0.84,0.7501,0.60008,0.5524,0.458492,0.7875,0.60774,0.5610748,0.442198952,0.58002,0.46766184
100,1.02,0.816,0.7237,0.57896,0.5278,0.438074,0.765,0.590376,0.5413276,0.426635624,0.55419,0.44683548
99,0.9906,0.79248,0.6988,0.55904,0.5046,0.418818,0.74295,0.57335928,0.5227024,0.411956576,0.52983,0.42719436
98,0.9626,0.77008,0.6752,0.54016,0.4831,0.400973,0.72195,0.55715288,0.5050496,0.398043904,0.507255,0.40899246
97,0.9356,0.74848,0.6529,0.52232,0.4631,0.384373,0.7017,0.54152528,0.4883692,0.384897608,0.486255,0.39206046
96,0.9097,0.72776,0.6321,0.50568,0.4446,0.369018,0.682275,0.52653436,0.4728108,0.372635592,0.46683,0.37639836
95,0.8848,0.70784,0.6127,0.49016,0.4278,0.355074,0.6636,0.51212224,0.4582996,0.361198904,0.44919,0.36217548
94,0.861,0.6888,0.5948,0.47584,0.4126,0.342458,0.64575,0.4983468,0.4449104,0.350646496,0.43323,0.34930716
93,0.8384,0.67072,0.5783,0.46264,0.399,0.33117,0.6288,0.48526592,0.4325684,0.340919416,0.41895,0.3377934
92,0.8168,0.65344,0.5633,0.45064,0.3871,0.321293,0.6126,0.47276384,0.4213484,0.332076616,0.406455,0.32771886
91,0.7964,0.63712,0.5498,0.43984,0.3769,0.312827,0.5973,0.46095632,0.4112504,0.324118096,0.395745,0.31908354
90,0.7771,0.62168,0.5378,0.43024,0.3683,0.305689,0.582825,0.44978548,0.4022744,0.317043856,0.386715,0.31180278
89,0.759,0.6072,0.5273,0.42184,0.3614,0.299962,0.56925,0.4393092,0.3944204,0.310853896,0.37947,0.30596124
88,0.742,0.5936,0.5183,0.41464,0.3561,0.295563,0.5565,0.4294696,0.3876884,0.305548216,0.373905,0.30147426
87,0.7262,0.58096,0.5108,0.40864,0.3525,0.292575,0.54465,0.42032456,0.3820784,0.301126816,0.370125,0.2984265
86,0.7115,0.5692,0.5048,0.40384,0.3506,0.290998,0.533625,0.4118162,0.3775904,0.297589696,0.36813,0.29681796
85,0.6981,0.55848,0.5003,0.40024,0.3504,0.290832,0.523575,0.40406028,0.3742244,0.294936856,0.36792,0.29664864
84,0.6858,0.54864,0.4973,0.39784,0.3518,0.291994,0.51435,0.39694104,0.3719804,0.293168296,0.36939,0.29783388
83,0.6746,0.53968,0.4958,0.39664,0.3549,0.294567,0.50595,0.39045848,0.3708584,0.292284016,0.372645,0.30045834
82,0.6647,0.53176,0.4958,0.39664,0.3596,0.298468,0.498525,0.38472836,0.3708584,0.292284016,0.37758,0.30443736
81,0.6559,0.52472,0.4972,0.39776,0.366,0.30378,0.491925,0.37963492,0.3719056,0.293109344,0.3843,0.3098556
80,0.6483,0.51864,0.5002,0.40016,0.3739,0.310337,0.486225,0.37523604,0.3741496,0.294877904,0.392595,0.31654374
79,0.6418,0.51344,0.5046,0.40368,0.3835,0.318305,0.48135,0.37147384,0.3774408,0.297471792,0.402675,0.3246711
78,0.6365,0.5092,0.5104,0.40832,0.3946,0.327518,0.477375,0.3684062,0.3817792,0.300891008,0.41433,0.33406836
77,0.6324,0.50592,0.5176,0.41408,0.4073,0.338059,0.4743,0.36603312,0.3871648,0.305135552,0.427665,0.34482018
76,0.6293,0.50344,0.5263,0.42104,0.4215,0.349845,0.471975,0.36423884,0.3936724,0.310264376,0.442575,0.3568419
75,0.6274,0.50192,0.5363,0.42904,0.4372,0.362876,0.47055,0.36313912,0.4011524,0.316159576,0.45906,0.37013352
74,0.6266,0.50128,0.5476,0.43808,0.4544,0.377152,0.46995,0.36267608,0.4096048,0.322821152,0.47712,0.38469504
73,0.6269,0.50152,0.5603,0.44824,0.4731,0.392673,0.470175,0.36284972,0.4191044,0.330308056,0.496755,0.40052646
72,0.6282,0.50256,0.5743,0.45944,0.4931,0.409273,0.47115,0.36360216,0.4295764,0.338561336,0.517755,0.41745846
71,0.6306,0.50448,0.5896,0.47168,0.5145,0.427035,0.47295,0.36499128,0.4410208,0.347580992,0.540225,0.4355757
70,0.6341,0.50728,0.6061,0.48488,0.5373,0.445959,0.475575,0.36701708,0.4533628,0.357308072,0.564165,0.45487818
69,0.6385,0.5108,0.6238,0.49904,0.5613,0.465879,0.478875,0.3695638,0.4666024,0.367742576,0.589365,0.47519658
68,0.644,0.5152,0.6427,0.51416,0.5867,0.486961,0.483,0.3727472,0.4807396,0.378884504,0.616035,0.49670022
67,0.6504,0.52032,0.6627,0.53016,0.6132,0.508956,0.4878,0.37645152,0.4956996,0.390674904,0.64386,0.51913512
66,0.6578,0.52624,0.6838,0.54704,0.641,0.53203,0.49335,0.38073464,0.5114824,0.403113776,0.67305,0.5426706
65,0.6661,0.53288,0.706,0.5648,0.6698,0.555934,0.499575,0.38553868,0.528088,0.41620112,0.70329,0.56705268
64,0.6753,0.54024,0.7292,0.58336,0.6998,0.580834,0.506475,0.39086364,0.5454416,0.429877984,0.73479,0.59245068
63,0.6853,0.54824,0.7534,0.60272,0.7308,0.606564,0.513975,0.39665164,0.5635432,0.444144368,0.76734,0.61869528
62,0.6962,0.55696,0.7785,0.6228,0.7628,0.633124,0.52215,0.40296056,0.582318,0.45894132,0.80094,0.64578648
61,0.7079,0.56632,0.8045,0.6436,0.7957,0.660431,0.530925,0.40973252,0.601766,0.47426884,0.835485,0.67363962
60,0.7204,0.57632,0.8314,0.66512,0.8296,0.688568,0.5403,0.41696752,0.6218872,0.490126928,0.87108,0.70233936
59,0.7337,0.58696,0.8591,0.68728,0.8642,0.717286,0.550275,0.42466556,0.6426068,0.506456632,0.90741,0.73163172
58,0.7476,0.59808,0.8876,0.71008,0.8997,0.746751,0.5607,0.43271088,0.6639248,0.523257952,0.944685,0.76168602
57,0.7623,0.60984,0.9167,0.73336,0.9359,0.776797,0.571725,0.44121924,0.6856916,0.540412984,0.982695,0.79233294
56,0.7775,0.622,0.9466,0.75728,0.9728,0.807424,0.583125,0.450017,0.7080568,0.558039632,1.02144,0.82357248
55,0.7935,0.6348,0.9771,0.78168,1.01,0.8383,0.595125,0.4592778,0.7308708,0.576019992,1.0605,0.855066
54,0.81,0.648,1.008,0.8064,1.048,0.86984,0.6075,0.468828,0.753984,0.59423616,1.1004,0.8872368
53,0.827,0.6616,1.04,0.832,1.087,0.90221,0.62025,0.4786676,0.77792,0.6131008,1.14135,0.9202542
52,0.8446,0.67568,1.072,0.8576,1.126,0.93458,0.63345,0.48885448,0.801856,0.63196544,1.1823,0.9532716
51,0.8626,0.69008,1.104,0.8832,1.166,0.96778,0.64695,0.49927288,0.825792,0.65083008,1.2243,0.9871356
50,0.8811,0.70488,1.137,0.9096,1.206,1.00098,0.660825,0.50998068,0.850476,0.67028424,1.2663,1.0209996
49,0.9,0.72,1.17,0.936,1.246,1.03418,0.675,0.52092,0.87516,0.6897384,1.3083,1.0548636
48,0.9192,0.73536,1.204,0.9632,1.286,1.06738,0.6894,0.53203296,0.900592,0.70978208,1.3503,1.0887276
47,0.9388,0.75104,1.238,0.9904,1.327,1.10141,0.7041,0.54337744,0.926024,0.72982576,1.39335,1.1234382
46,0.9587,0.76696,1.271,1.0168,1.367,1.13461,0.719025,0.55489556,0.950708,0.74927992,1.43535,1.1573022
45,0.9788,0.78304,1.305,1.044,1.408,1.16864,0.7341,0.56652944,0.97614,0.7693236,1.4784,1.1920128
44,0.9991,0.79928,1.34,1.072,1.449,1.20267,0.749325,0.57827908,1.00232,0.7899568,1.52145,1.2267234
43,1.02,0.816,1.374,1.0992,1.49,1.2367,0.765,0.590376,1.027752,0.81000048,1.5645,1.261434
42,1.04,0.832,1.408,1.1264,1.531,1.27073,0.78,0.601952,1.053184,0.83004416,1.60755,1.2961446
41,1.061,0.8488,1.442,1.1536,1.571,1.30393,0.79575,0.6141068,1.078616,0.85008784,1.64955,1.3300086
40,1.082,0.8656,1.476,1.1808,1.611,1.33713,0.8115,0.6262616,1.104048,0.87013152,1.69155,1.3638726
39,1.103,0.8824,1.51,1.208,1.652,1.37116,0.82725,0.6384164,1.12948,0.8901752,1.7346,1.3985832
38,1.124,0.8992,1.543,1.2344,1.691,1.40353,0.843,0.6505712,1.154164,0.90962936,1.77555,1.4316006
37,1.145,0.916,1.577,1.2616,1.731,1.43673,0.85875,0.662726,1.179596,0.92967304,1.81755,1.4654646
36,1.165,0.932,1.61,1.288,1.77,1.4691,0.87375,0.674302,1.20428,0.9491272,1.8585,1.498482
35,1.186,0.9488,1.642,1.3136,1.808,1.50064,0.8895,0.6864568,1.228216,0.96799184,1.8984,1.5306528
34,1.206,0.9648,1.675,1.34,1.846,1.53218,0.9045,0.6980328,1.2529,0.987446,1.9383,1.5628236
33,1.227,0.9816,1.707,1.3656,1.884,1.56372,0.92025,0.7101876,1.276836,1.00631064,1.9782,1.5949944
32,1.247,0.9976,1.738,1.3904,1.921,1.59443,0.93525,0.7217636,1.300024,1.02458576,2.01705,1.6263186
31,1.267,1.0136,1.769,1.4152,1.957,1.62431,0.95025,0.7333396,1.323212,1.04286088,2.05485,1.6567962
30,1.286,1.0288,1.799,1.4392,1.993,1.65419,0.9645,0.7443368,1.345652,1.06054648,2.09265,1.6872738
29,1.306,1.0448,1.829,1.4632,2.028,1.68324,0.9795,0.7559128,1.368092,1.07823208,2.1294,1.7169048
28,1.325,1.06,1.858,1.4864,2.062,1.71146,0.99375,0.76691,1.389784,1.09532816,2.1651,1.7456892
27,1.343,1.0744,1.887,1.5096,2.095,1.73885,1.00725,0.7773284,1.411476,1.11242424,2.19975,1.773627
26,1.361,1.0888,1.914,1.5312,2.127,1.76541,1.02075,0.7877468,1.431672,1.12834128,2.23335,1.8007182
25,1.379,1.1032,1.941,1.5528,2.159,1.79197,1.03425,0.7981652,1.451868,1.14425832,2.26695,1.8278094
24,1.396,1.1168,1.968,1.5744,2.189,1.81687,1.047,0.8080048,1.472064,1.16017536,2.29845,1.8532074
23,1.413,1.1304,1.993,1.5944,2.219,1.84177,1.05975,0.8178444,1.490764,1.17491336,2.32995,1.8786054
22,1.429,1.1432,2.018,1.6144,2.248,1.86584,1.07175,0.8271052,1.509464,1.18965136,2.3604,1.9031568
21,1.445,1.156,2.041,1.6328,2.275,1.88825,1.08375,0.836366,1.526668,1.20321032,2.38875,1.926015
20,1.46,1.168,2.064,1.6512,2.302,1.91066,1.095,0.845048,1.543872,1.21676928,2.4171,1.9488732
19,1.475,1.18,2.086,1.6688,2.327,1.93141,1.10625,0.85373,1.560328,1.22973872,2.44335,1.9700382
18,1.489,1.1912,2.107,1.6856,2.351,1.95133,1.11675,0.8618332,1.576036,1.24211864,2.46855,1.9903566
17,1.502,1.2016,2.127,1.7016,2.374,1.97042,1.1265,0.8693576,1.590996,1.25390904,2.4927,2.0098284
16,1.515,1.212,2.146,1.7168,2.396,1.98868,1.13625,0.876882,1.605208,1.26510992,2.5158,2.0284536
15,1.527,1.2216,2.163,1.7304,2.417,2.00611,1.14525,0.8838276,1.617924,1.27513176,2.53785,2.0462322
14,1.538,1.2304,2.18,1.744,2.436,2.02188,1.1535,0.8901944,1.63064,1.2851536,2.5578,2.0623176
13,1.548,1.2384,2.196,1.7568,2.455,2.03765,1.161,0.8959824,1.642608,1.29458592,2.57775,2.078403
12,1.558,1.2464,2.211,1.7688,2.472,2.05176,1.1685,0.9017704,1.653828,1.30342872,2.5956,2.0927952
11,1.567,1.2536,2.224,1.7792,2.487,2.06421,1.17525,0.9069796,1.663552,1.31109248,2.61135,2.1054942
10,1.576,1.2608,2.237,1.7896,2.501,2.07583,1.182,0.9121888,1.673276,1.31875624,2.62605,2.1173466
9,1.583,1.2664,2.248,1.7984,2.515,2.08745,1.18725,0.9162404,1.681504,1.32524096,2.64075,2.129199
8,1.59,1.272,2.258,1.8064,2.526,2.09658,1.1925,0.920292,1.688984,1.33113616,2.6523,2.1385116
7,1.596,1.2768,2.267,1.8136,2.536,2.10488,1.197,0.9237648,1.695716,1.33644184,2.6628,2.1469776
6,1.602,1.2816,2.275,1.82,2.545,2.11235,1.2015,0.9272376,1.7017,1.341158,2.67225,2.154597
5,1.606,1.2848,2.281,1.8248,2.553,2.11899,1.2045,0.9295528,1.706188,1.34469512,2.68065,2.1613698
4,1.61,1.288,2.286,1.8288,2.559,2.12397,1.2075,0.931868,1.709928,1.34764272,2.68695,2.1664494
3,1.613,1.2904,2.291,1.8328,2.564,2.12812,1.20975,0.9336044,1.713668,1.35059032,2.6922,2.1706824
2,1.615,1.292,2.294,1.8352,2.567,2.13061,1.21125,0.934762,1.715912,1.35235888,2.69535,2.1732222
1,1.616,1.2928,2.295,1.836,2.569,2.13227,1.212,0.9353408,1.71666,1.3529484,2.69745,2.1749154
